"","case","serial","ref","questnnr","mode","au01_01","au01_02","au01_03","au01_04","au01_05","au01_06","au01_07","au01_08","au01_09","sd01_01","sd01_02","sd01_03","sd01_04","sd01_05","sd01_06","sd01_07","sd01_08","sd01_09","sd01_10","sd01_11","sd01_12","sd01_13","sd01_14","sd01_15","sd01_16","ko01_02","ko01_03","ko01_04","ko01_05","ko01_06","ko01_07","ko01_08","ko01_09","ko01_10","ko01_11","ko01_12","ko01_13","ko01_14","ko01_15","ko01_16","ko01_17","ko01_18","ko01_19","ko01_20","ko01_21","ko01_22","ko01_23","ko01_24","ko01_25","ko01_26","ko01_27","ko01_28","ko01_29","ko01_30","ko01_31","mi01_01","mi01_02","mi01_03","mi01_04","mi01_05","mi01_06","mi01_07","mi01_08","ta01_01","ta01_02","ta01_03","ta01_04","ta01_05","ta01_06","ta01_07","ta01_08","ta01_09","ta01_10","ta01_11","ta01_12","ta01_13","ta01_14","ta01_15","ta01_16","ta01_17","ta01_18","ta01_19","ta01_20","ta01_21","ta01_22","ta01_23","ta01_24","ta01_25","ta01_26","ta01_27","ta01_28","ta01_29","ta01_30","ta01_31","ta01_32","ta01_33","ta01_34","ta01_35","ta01_36","ta01_37","ta01_38","ta01_39","ta01_40","de01_01","de02","de03_01","de04","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time_sum","mailsent","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi"
"1",14,NA,NA,"base","interview",1,5,1,5,3,2,4,2,3,1,2,3,4,3,2,1,2,4,3,2,1,2,3,2,1,6,4,8,4,4,8,5,7,4,8,4,5,9,8,7,6,5,4,5,7,8,9,10,8,5,3,3,5,8,7,1,2,4,3,5,6,6,5,7,5,6,3,10,4,10,6,8,6,5,6,7,9,5,6,5,7,8,8,7,6,8,6,5,1,7,7,6,8,5,7,6,7,6,7,9,9,6,8,88,2,11,2,10,51,11,27,15,9,3,31,58,8,223,NA,TRUE,FALSE,10,10,0,0,"2,21"
"2",19,NA,NA,"base","interview",3,3,2,2,3,2,3,1,1,2,2,3,2,1,1,1,2,5,3,3,1,3,3,2,2,1,6,6,8,4,5,8,6,2,2,7,6,6,9,6,6,8,7,4,2,6,6,5,7,5,2,10,6,1,9,5,5,2,2,4,5,2,2,6,5,6,2,6,6,6,6,6,6,6,6,6,7,9,6,6,6,7,6,6,6,7,7,7,5,5,6,6,7,6,6,5,5,5,5,2,6,5,5,NA,1,3,4,2,80,135,214,127,55,29,211,46,3,902,NA,TRUE,FALSE,10,10,2,1,"1,2"
"3",20,NA,NA,"base","interview",2,3,2,2,3,2,3,2,2,2,1,1,1,2,1,1,3,3,1,1,1,1,1,3,5,NA,6,9,6,4,6,7,11,1,1,8,6,9,11,6,11,11,8,1,1,11,6,5,11,3,6,8,11,1,8,4,4,4,4,3,4,4,2,6,4,3,1,6,3,6,6,4,6,9,8,6,4,7,6,6,6,6,6,4,6,6,7,8,2,6,6,6,6,6,6,4,6,6,6,8,6,6,4,21,1,5,4,13,60,68,123,138,57,26,139,19,6,649,NA,TRUE,FALSE,10,10,2,1,"1,23"
"4",32,NA,NA,"base","interview",2,3,3,3,2,1,4,2,2,6,1,6,3,4,6,2,5,4,1,6,2,3,5,5,1,1,1,5,3,8,6,10,10,9,1,2,1,8,11,8,11,6,9,1,1,6,8,7,2,8,8,8,8,1,2,6,6,6,2,6,5,5,4,6,2,6,1,6,9,9,8,5,6,6,3,6,1,6,6,1,6,3,2,1,7,2,3,4,1,5,3,6,6,8,6,6,3,8,6,1,6,6,2,36,2,8,7,5,69,84,109,74,43,32,111,35,8,570,NA,TRUE,FALSE,10,10,1,0,"1,33"
"5",33,NA,NA,"base","interview",1,4,NA,5,5,3,2,2,2,4,3,5,4,4,5,5,4,3,4,3,3,2,3,2,2,1,7,1,1,1,9,11,9,3,1,1,1,11,11,11,11,11,11,1,1,11,9,11,11,1,8,9,9,7,11,3,4,2,3,5,3,4,3,9,1,1,1,9,6,6,6,6,6,9,8,7,1,6,7,8,8,1,6,1,2,1,8,6,1,1,1,1,6,9,11,11,11,11,11,6,11,1,6,27,2,6,7,2,70,28,106,15,6,19,98,16,3,363,NA,TRUE,FALSE,10,10,2,1,"2,24"
"6",34,NA,NA,"base","interview",2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,3,2,2,1,11,3,6,1,11,8,11,3,1,10,9,11,11,11,11,11,11,1,1,11,6,10,10,1,5,3,11,11,9,5,4,3,2,4,3,1,1,11,1,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,11,11,11,11,10,11,11,11,11,11,11,11,8,11,11,8,11,10,11,24,4,3,4,1075,64,103,132,93,67,30,88,61,10,660,NA,TRUE,FALSE,10,10,1,0,"0,97"
"7",37,NA,NA,"base","interview",1,4,2,2,1,1,1,1,1,4,3,2,1,1,1,1,4,2,1,2,1,1,4,4,2,1,6,11,6,5,3,11,11,1,11,11,1,1,11,6,11,11,4,1,1,11,7,9,11,11,2,10,11,9,7,3,2,2,1,2,3,2,1,11,8,11,1,10,2,10,11,9,10,9,9,2,2,11,9,5,7,9,6,2,9,8,6,7,2,11,4,9,11,9,8,7,2,9,6,1,10,5,7,21,1,5,4,13,85,103,197,111,45,15,231,44,5,849,NA,TRUE,FALSE,10,10,1,0,"1,07"
"8",41,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,6,1,6,1,1,5,5,1,1,11,3,11,1,11,6,11,1,1,6,5,11,11,11,11,11,11,1,1,11,1,11,11,3,1,9,11,6,2,4,3,4,4,1,2,1,1,11,1,9,1,9,9,9,8,11,11,11,11,11,9,11,11,9,11,11,9,7,11,9,11,11,7,7,11,9,11,9,11,9,9,9,8,2,11,4,9,22,1,5,7,21,94,96,142,103,51,34,149,45,10,745,NA,TRUE,FALSE,10,10,1,0,"0,93"
"9",45,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,6,1,6,1,6,1,1,1,1,9,1,11,6,6,6,10,1,1,9,NA,8,11,8,11,11,11,2,1,11,2,11,11,1,1,6,11,NA,2,1,1,1,1,3,2,2,2,6,1,5,1,5,4,6,6,6,6,6,6,8,8,8,6,6,6,8,6,5,6,6,8,8,6,6,7,6,7,5,4,4,5,4,4,2,6,4,4,26,2,2,7,37,60,151,239,97,87,29,224,39,3,966,NA,TRUE,FALSE,10,10,1,0,"0,95"
"10",47,NA,NA,"base","interview",1,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,NA,11,6,NA,11,11,11,11,11,NA,6,6,11,11,11,11,NA,NA,NA,NA,6,11,11,6,6,11,11,11,NA,11,4,4,1,1,4,3,1,1,8,1,8,1,8,11,11,11,8,8,8,4,8,6,8,6,8,6,8,4,1,4,6,11,8,4,4,8,4,11,11,8,8,6,8,8,1,8,4,6,34,2,3,6,28,121,215,176,163,257,33,352,97,17,1459,NA,TRUE,FALSE,10,10,7,6,"0,55"
"11",48,NA,NA,"base","interview",2,3,1,2,1,1,1,1,1,2,1,1,3,4,1,1,4,1,1,4,1,1,1,2,1,1,9,8,9,1,10,9,10,2,1,10,8,11,9,11,11,11,11,1,1,11,3,10,11,2,1,6,11,9,4,3,2,2,1,2,3,2,1,8,3,8,1,6,5,8,8,8,7,8,8,8,8,10,8,8,8,8,8,7,7,8,10,9,5,7,8,6,10,8,7,4,8,3,6,3,8,5,3,26,2,3,7,5,106,105,407,108,65,34,207,31,4,1072,NA,TRUE,FALSE,10,10,1,0,"1,08"
"12",51,NA,NA,"base","interview",1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,6,1,6,8,11,1,1,11,1,11,9,11,11,11,11,1,1,11,2,11,11,6,1,6,11,11,11,4,4,4,4,1,5,5,3,1,3,7,1,11,7,11,8,11,1,11,11,11,11,11,11,11,11,11,11,8,8,11,8,11,1,7,11,11,11,11,8,8,8,11,6,6,8,6,3,26,1,4,6,3,57,132,189,105,52,23,157,39,6,763,NA,TRUE,FALSE,10,10,1,0,"1,25"
"13",55,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,6,2,7,2,8,8,9,1,1,9,6,6,8,6,10,10,11,2,1,6,6,8,9,4,2,2,6,6,5,2,1,1,1,1,1,2,1,6,3,6,1,6,3,6,6,6,6,6,6,11,9,10,6,6,6,9,6,5,5,9,8,8,6,5,7,5,8,5,4,4,5,4,2,4,6,5,4,22,1,2,4,20,61,121,172,76,31,35,157,23,2,698,NA,TRUE,FALSE,10,10,0,0,"1,34"
