"","case","serial","ref","questnnr","mode","au01_01","au01_02","au01_03","au01_04","au01_05","au01_06","au01_07","au01_08","au01_09","sd01_01","sd01_02","sd01_03","sd01_04","sd01_05","sd01_06","sd01_07","sd01_08","sd01_09","sd01_10","sd01_11","sd01_12","sd01_13","sd01_14","sd01_15","sd01_16","me01_01","me01_02","me01_03","me01_04","me01_05","me01_06","me01_07","me01_08","ko01_01","ko01_02","ko01_03","ko01_04","ko01_05","ko01_06","ko01_07","ko01_08","ko01_09","ko01_10","ko01_11","ko01_12","ko01_13","ko01_14","ko01_15","ko01_16","ko01_17","ko01_18","ko01_19","ko01_20","ko01_21","ko01_22","ko01_23","ko01_24","ko01_25","ko01_26","ko01_27","ko01_28","ko01_29","ko01_30","he01_01","he01_02","he01_03","he01_04","he01_05","he01_06","he01_07","he01_08","he01_09","he01_10","ta01_01","ta01_02","ta01_03","ta01_04","ta01_05","ta01_06","ta01_07","ta01_08","ta01_09","ta01_10","ta01_11","ta01_12","ta01_13","ta01_14","ta01_15","ta01_16","ta01_17","ta01_18","ta01_19","ta01_20","de01","de02_01","de03_01","de04","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time011","time_sum","mailsent","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi"
"1",43,NA,NA,"base","interview",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,3,1,1,1,2,5,2,21,NA,TRUE,FALSE,11,11,100,100,"3"
"2",48,NA,NA,"base","interview",1,5,2,2,1,3,3,2,2,5,6,2,3,6,4,6,6,5,2,6,6,3,6,5,3,1,1,1,1,1,1,1,1,1,65,100,51,52,1,52,83,1,1,82,1,100,100,100,58,15,82,1,1,1,82,85,1,1,1,100,87,1,1,5,1,3,6,4,4,5,4,1,3,35,13,1,6,6,51,101,51,1,101,101,1,52,101,1,1,53,53,53,6,2,50,87,6,700,123,235,80,195,124,41,94,107,24,6,1040,NA,TRUE,FALSE,11,11,0,0,"0,76"
"3",49,NA,NA,"base","interview",2,3,2,3,2,2,1,1,1,2,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,3,2,1,1,2,1,1,1,11,1,10,2,91,44,55,1,63,50,NA,100,100,80,100,64,100,1,1,98,7,100,92,44,11,3,100,100,91,5,6,6,6,6,6,6,6,5,6,26,51,25,17,6,23,94,79,90,42,65,4,79,66,91,82,21,96,6,54,1,25,8,5,153,59,215,117,205,119,67,110,148,20,6,1077,NA,TRUE,FALSE,11,11,1,1,"0,76"
"4",51,NA,NA,"base","interview",1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,4,2,3,2,2,2,2,2,2,2,1,100,56,58,1,89,87,100,14,11,33,54,100,100,100,100,100,93,28,2,100,11,100,100,39,1,62,100,100,36,6,5,5,6,6,4,6,4,5,5,51,51,52,53,54,54,54,50,53,53,53,53,54,51,54,53,51,52,52,52,1,20,27,5,15,52,96,62,123,81,49,58,103,14,6,659,NA,TRUE,FALSE,11,11,0,0,"1,17"
"5",52,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,6,3,5,4,3,6,2,2,3,3,2,3,2,1,NA,50,26,61,NA,53,55,53,NA,48,50,50,90,55,85,84,100,100,51,5,100,7,77,100,63,1,68,100,53,22,6,6,5,5,6,6,5,5,5,6,47,48,48,47,47,47,80,49,47,48,46,46,45,46,49,47,48,48,49,49,2,22,8,5,15,46,96,65,217,98,74,91,58,24,2,786,NA,TRUE,FALSE,11,11,2,2,"1,22"
"6",54,NA,NA,"base","interview",1,3,3,4,3,3,2,1,1,2,2,4,2,5,2,1,5,3,2,5,5,3,2,6,2,5,6,5,6,3,4,3,2,63,83,51,50,50,37,70,99,69,51,71,10,82,83,91,95,93,88,42,5,62,71,80,88,51,50,82,97,84,88,6,6,2,6,5,5,6,6,2,4,84,84,35,88,31,83,90,87,51,52,51,51,74,21,84,23,52,52,50,23,1,34,22,7,27,92,119,61,1230,120,55,108,130,31,6,939,NA,TRUE,FALSE,11,11,0,0,"0,74"
"7",55,NA,NA,"base","interview",3,3,1,4,4,3,2,1,3,1,1,1,1,3,4,2,5,3,1,1,1,1,1,1,1,3,1,1,1,2,3,2,5,1,31,65,65,4,85,85,85,1,66,66,10,50,73,56,100,88,87,13,1,90,95,67,84,84,30,64,100,77,95,5,6,6,6,6,6,6,6,5,6,37,22,65,26,57,46,101,38,91,29,44,57,77,67,76,99,26,101,46,20,1,21,15,5,25,47,86,32,149,86,48,51,95,21,8,648,NA,TRUE,FALSE,11,11,0,0,"1,16"
"8",56,NA,NA,"base","interview",3,3,3,3,2,2,4,2,2,5,3,5,3,5,5,4,4,3,3,3,4,3,3,4,4,4,4,4,3,5,5,2,2,1,51,1,30,51,31,71,51,51,51,70,30,61,41,70,70,51,70,1,1,40,60,51,51,51,26,25,19,8,30,6,4,4,5,4,5,3,4,1,2,53,52,10,51,27,53,48,52,8,20,19,53,41,30,7,1,29,30,56,23,2,28,57,5,5,49,86,43,171,81,71,53,67,15,3,644,NA,TRUE,FALSE,11,11,0,0,"1,43"
"9",57,NA,NA,"base","interview",4,5,4,5,3,3,4,2,1,5,2,2,2,4,2,2,4,4,1,2,2,4,2,5,3,5,5,2,4,5,5,4,4,25,86,88,89,60,86,80,100,29,7,67,82,96,100,100,96,73,67,51,1,84,65,31,79,17,NA,82,100,NA,86,5,5,5,5,5,5,5,5,3,3,46,24,71,45,29,33,75,NA,20,8,7,30,87,67,71,NA,53,63,56,13,1,22,42,5,19,71,92,43,246,101,43,66,86,16,9,792,NA,TRUE,FALSE,11,11,3,3,"1,03"
"10",58,NA,NA,"base","interview",2,2,1,3,1,3,2,1,1,5,1,1,1,1,1,1,3,3,1,3,2,2,1,3,5,4,4,2,1,2,3,1,1,2,90,82,65,90,80,84,89,2,20,95,47,95,100,75,100,61,98,31,3,100,35,89,80,80,65,87,99,100,68,6,5,6,6,6,6,5,6,4,5,53,52,76,53,51,56,96,96,81,41,46,51,56,36,76,81,51,71,51,38,1,21,24,5,9,139,160,91,551,113,89,80,370,20,5,1627,NA,TRUE,FALSE,11,11,0,0,"0,75"
